state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,state_abb,tempf,pe_totalrenew
Alabama,1997,16.87037037037037,134.9,4368,143646,867264,524929,337431,310336,182204,17,117660,138,0,0,0,0,0,0,0,0,AL,62.36666666666667,300020
Arkansas,1997,15.36574074074074,59.6,2601,82756,246786,320440,264019,149100,86884,147,35906,1108,0,0,0,0,1,0,0,0,AR,59.65833333333333,124045
Arizona,1997,15.847222222222221,71.8,4737,168550,369872,430092,137588,307623,16421,238,123060,3792,0,0,0,0,0,0,0,0,AZ,60.525,143511
California,1997,15.064814814814815,346.6,32486,1378654,82651,3292194,2185029,320194,158854,132211,419290,24988,32037,0,1,0,0,0,0,0,CA,59.11666666666667,767380
Colorado,1997,7.13425925925926,75.7,4018,184193,362423,371516,311900,0,17123,411,20751,230,0,0,0,0,0,0,0,0,CO,44.84166666666667,38515
Connecticut,1997,9.245370370370368,42.8,3349,190791,44982,427410,148585,-1309,46243,0,4562,199,0,0,0,0,1,0,0,0,CT,48.64166666666666,51004
Delaware,1997,12.685185185185185,15.4,751,45231,48586,131417,48140,0,2101,76,0,26,0,0,0,0,0,0,0,0,DE,54.83333333333333,2203
Florida,1997,21.74537037037037,219.4,15186,560888,751335,1654266,547201,241023,197033,1948,2464,29982,0,0,0,0,0,0,0,0,FL,71.14166666666667,231427
Georgia,1997,17.337962962962962,157.1,7685,328994,767969,938363,381712,319170,218529,54,43708,186,0,0,0,0,1,0,0,0,GA,63.20833333333333,262479
Iowa,1997,8.38888888888889,73.5,2891,113365,391698,362421,208360,43541,71580,247,8221,9,1,0,0,0,0,0,0,0,IA,47.1,80058
Idaho,1997,6.240740740740741,13.8,1229,37015,6410,146540,70801,0,28607,522,149882,2,0,0,1,0,0,0,0,0,ID,43.23333333333333,179013
Illinois,1997,10.537037037037038,225.5,12186,577804,974920,1169735,1095556,535916,89677,374,992,137,0,0,0,0,0,0,0,0,IL,50.96666666666667,91180
Indiana,1997,10.277777777777779,217.1,5955,232247,1423469,819146,559146,0,40412,856,5736,32,0,0,0,0,0,0,0,0,IN,50.5,47036
Kansas,1997,12.037037037037035,71.5,2635,104770,310907,374645,338569,88469,9977,194,142,36,0,0,0,0,0,0,0,0,KS,53.66666666666666,10349
Kentucky,1997,12.486111111111107,141.7,3953,146958,977760,563514,239307,0,13508,488,34522,4,0,0,0,0,1,0,0,0,KY,54.475,48522
Louisiana,1997,18.912037037037038,222.1,4421,201830,226065,1929691,1857072,141785,138717,328,10580,69,0,0,0,0,0,0,0,0,LA,66.04166666666667,149694
Massachusetts,1997,8.532407407407408,85.9,6226,302806,122896,725016,411405,45234,61397,162,10537,220,0,0,0,0,1,0,0,0,MA,47.35833333333333,72315
Maryland,1997,12.245370370370367,72.2,5157,221184,289686,509621,219008,138657,36802,100,16222,51,0,0,0,0,0,0,0,0,MD,54.04166666666666,53175
Maine,1997,4.337962962962961,19.8,1255,43035,8966,256438,6470,0,124454,0,37256,117,0,0,0,0,1,0,0,0,ME,39.80833333333333,161828
Michigan,1997,6.407407407407407,192.2,9809,397339,781123,978548,987593,229964,97296,962,17489,262,0,0,0,0,0,0,0,0,MI,43.53333333333333,116010
Minnesota,1997,4.759259259259257,91.6,4763,211942,341636,614840,360264,113536,78273,201,10567,359,551,0,1,0,0,0,0,0,MN,40.566666666666656,89951
Missouri,1997,12.046296296296294,125.6,5481,228293,670589,696979,285391,93970,14852,62,16272,146,0,0,0,0,0,0,0,0,MO,53.68333333333334,31332
