state_name,year,tempc,co2_emissions,population_thousands,rgdp_millions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,PC 1,PC 2,PC 3,state_abb,Class
Alabama,1997,16.87037037037037,134.9,4368,143646,867264,524929,337431,310336,182204,17,117660,138,0,0.5453432593478071,-1.383178432358586,-2.1878696460291156,AL,1
Arizona,1997,15.847222222222221,71.8,4737,168550,369872,430092,137588,307623,16421,238,123060,3792,0,-0.747016991060524,-0.3252502172158431,-1.416465925925182,AZ,0
Arkansas,1997,15.36574074074074,59.6,2601,82756,246786,320440,264019,149100,86884,147,35906,1108,0,-1.0676650945296533,-0.3821988143154095,-1.2975464701945079,AR,0
California,1997,15.064814814814815,346.6,32486,1378654,82651,3292194,2185029,320194,158854,132211,419290,24988,32037,8.464622136739202,6.864697109027139,-0.6335498281277453,CA,2
Colorado,1997,7.13425925925926,75.7,4018,184193,362423,371516,311900,0,17123,411,20751,230,0,-1.5484892282902938,0.12847298391199313,1.3569884672414567,CO,0
Connecticut,1997,9.245370370370368,42.8,3349,190791,44982,427410,148585,-1309,46243,0,4562,199,0,-1.7540526371578276,0.4611421868008735,0.023405228265761472,CT,0
Delaware,1997,12.685185185185185,15.4,751,45231,48586,131417,48140,0,2101,76,0,26,0,-2.4033051920937853,0.19600776776120085,-0.2238319747088837,DE,0
Florida,1997,21.74537037037037,219.4,15186,560888,751335,1654266,547201,241023,197033,1948,2464,29982,0,3.0086170793866573,-0.9056256664641468,-2.6977268982149374,FL,1
Georgia,1997,17.337962962962962,157.1,7685,328994,767969,938363,381712,319170,218529,54,43708,186,0,1.343598670744804,-1.3971163474931325,-2.359635765518702,GA,1
Idaho,1997,6.240740740740741,13.8,1229,37015,6410,146540,70801,0,28607,522,149882,2,0,-2.4756861555400467,1.2704421865825961,0.9089305861001533,ID,0
Illinois,1997,10.537037037037038,225.5,12186,577804,974920,1169735,1095556,535916,89677,374,992,137,0,2.1582700873075966,-2.067883038641364,-1.090393453153335,IL,1
Indiana,1997,10.277777777777779,217.1,5955,232247,1423469,819146,559146,0,40412,856,5736,32,0,0.2018733359988565,-2.0626777785285837,1.327301296689948,IN,1
Iowa,1997,8.38888888888889,73.5,2891,113365,391698,362421,208360,43541,71580,247,8221,9,1,-1.3543232244314551,-0.1493877304123392,0.6419762825346635,IA,0
Kansas,1997,12.037037037037035,71.5,2635,104770,310907,374645,338569,88469,9977,194,142,36,0,-1.4811456756391477,-0.42070359323343126,0.24063094381304492,KS,0
Kentucky,1997,12.486111111111107,141.7,3953,146958,977760,563514,239307,0,13508,488,34522,4,0,-0.8177632122004207,-1.2898956900627525,0.5304308017353367,KY,0
Louisiana,1997,18.912037037037038,222.1,4421,201830,226065,1929691,1857072,141785,138717,328,10580,69,0,1.658242610026062,-1.2680298260902116,-0.5941336576703312,LA,1
Maine,1997,4.337962962962961,19.8,1255,43035,8966,256438,6470,0,124454,0,37256,117,0,-2.166156812899814,0.9906012594414877,0.5168219217975613,ME,0
Maryland,1997,12.245370370370367,72.2,5157,221184,289686,509621,219008,138657,36802,100,16222,51,0,-1.046866026401609,-0.18814296225484528,-0.486894329149869,MD,0
Massachusetts,1997,8.532407407407408,85.9,6226,302806,122896,725016,411405,45234,61397,162,10537,220,0,-0.9158378400068301,0.46446794499437394,0.3779816661018623,MA,0
Michigan,1997,6.407407407407407,192.2,9809,397339,781123,978548,987593,229964,97296,962,17489,262,0,0.8494311022711021,-0.8433607108145238,0.621284650299699,MI,1
Minnesota,1997,4.759259259259257,91.6,4763,211942,341636,614840,360264,113536,78273,201,10567,359,551,-0.9933102520108265,0.13053433560136893,0.9963202419998021,MN,0
Mississippi,1997,17.171296296296294,55.7,2777,83197,132171,432969,264210,113467,84113,169,0,10,0,-1.0841753926226727,-0.4196211117016444,-1.3781449860413677,MS,0
Missouri,1997,12.046296296296294,125.6,5481,228293,670589,696979,285391,93970,14852,62,16272,146,0,-0.669254200724682,-0.9630907999229351,0.24484197030889876,MO,0
Montana,1997,5.675925925925927,29.0,890,29169,162568,160519,61699,0,16223,126,136921,2,0,-2.476839298840849,0.9312072019402847,1.214090064671741,MT,0
Nebraska,1997,9.24074074074074,41.1,1686,70722,193334,230493,132007,97267,24589,248,17080,15,0,-1.9586352051629095,0.07532194367444774,0.0782610826914205,NE,0
Nevada,1997,10.32407407407407,38.1,1764,90368,166666,214249,135497,0,4488,17112,26421,259,0,-1.9017142430401142,0.9332978172542513,0.2589468410800422,NV,0
New Hampshire,1997,5.7222222222222205,16.6,1189,48425,44527,159259,21146,83736,25682,0,16561,38,0,-2.4794092724049897,0.605261167785082,0.4740723693591592,NH,0
New Jersey,1997,11.138888888888893,122.9,8219,426187,99889,1134515,735341,145951,39426,87,188,587,0,-0.010235021831495428,0.028283757626725282,-0.21161951077217736,NJ,0
New Mexico,1997,11.611111111111107,55.9,1775,67446,288506,217240,261881,0,6402,176,2643,542,0,-1.905978761165074,-0.16971087596092335,0.26417564184930253,NM,0
New York,1997,6.847222222222222,205.0,18657,976940,325232,1462905,1357187,310304,179526,236,312702,538,0,2.8803176591050375,1.4279713835495391,0.2846579974098088,NY,1
North Carolina,1997,14.495370370370376,143.5,7657,316366,765927,858408,223419,340563,109801,171,57457,156,0,0.5770070693559934,-1.1633956707280657,-1.6052194518413117,NC,1
North Dakota,1997,4.828703703703706,47.6,650,22411,385988,119917,53699,0,3578,181,33903,1,0,-2.4709675851161497,0.17635496222330108,1.5677797828110966,ND,0
Ohio,1997,9.96759259259259,260.4,11277,471886,1407234,1213463,936758,160882,81058,642,5182,54,0,1.6200581718955207,-2.05779269574512,0.9289288506458968,OH,1
Oklahoma,1997,14.851851851851855,98.8,3373,115414,392437,457820,573479,0,25268,2,29834,79,0,-0.9912481132811488,-0.548798581308167,0.40796171944260773,OK,0
Oregon,1997,8.754629629629628,35.9,3304,118539,16363,358191,193771,0,52574,435,476985,601,0,-1.5899142673767517,2.3878224167186355,0.9166413612429839,OR,0
Pennsylvania,1997,8.870370370370372,276.0,12228,495814,1569642,1312478,730639,709967,95749,415,22970,509,0,2.4736757292185634,-2.8225291283362295,-0.7685345150307618,PA,1
Rhode Island,1997,9.689814814814817,13.6,1025,40158,71,102259,120513,0,4230,0,77,40,0,-2.530958519513099,0.45337740973536833,0.26774275379245965,RI,0
South Carolina,1997,16.75462962962963,71.4,3860,134908,361385,435897,158673,471343,101635,114,30212,23,0,-0.32992338784728337,-1.0964198635406013,-2.709708381092702,SC,1
South Dakota,1997,7.1064814814814845,13.3,744,24976,42942,111749,36772,0,3974,311,92042,0,0,-2.6251815939651437,0.8914569618507096,0.7442675697339823,SD,0
Tennessee,1997,13.800925925925927,122.4,5499,210844,680608,637049,291824,258656,49002,37,112731,61,0,-0.23844932010856862,-0.8001009799577501,-0.8645733068885941,TN,1
Texas,1997,17.73611111111111,668.0,19740,872763,1523201,5863047,4231566,392031,106311,451,18289,494,828,8.8710239437799,-4.4368607766810255,4.228777420054042,TX,3
Utah,1997,8.99074074074074,61.0,2120,80682,375105,245399,172248,0,4397,2226,13728,51,0,-1.9513918374628003,-0.008019903965413428,0.723310531102777,UT,0
Vermont,1997,5.0370370370370345,6.5,597,20026,2695,86534,8309,44776,9024,0,10902,23,0,-2.8028194355715916,0.7405009110910453,0.7550953230817659,VT,0
Virginia,1997,12.5,110.1,6829,301623,432781,799733,259571,284220,115131,305,10420,138,0,0.048999200327830686,-0.6037847447959146,-1.1766352424874835,VA,1
Washington,1997,8.393518518518519,75.5,5675,271601,80465,822643,268141,65526,96456,241,1063894,355,0,-0.2953710560174585,4.449780775428815,1.2606942257637557,WA,0
West Virginia,1997,10.546296296296298,111.2,1819,59236,937708,198854,170349,0,5925,0,11630,43,0,-1.5273935180910192,-1.2053427909805354,0.778026712815118,WV,0
Wisconsin,1997,5.912037037037036,103.6,5266,209257,486597,545521,404955,41093,102686,110,25362,230,0,-0.8092469134650142,-0.04492767919701018,0.6834209919194477,WI,0
Wyoming,1997,5.1111111111111125,58.9,489,25240,468350,131308,107907,0,1528,649,14101,2,0,-2.3738882488351023,-0.07483529862989602,1.5605251562035034,WY,0
Alabama,1998,18.402777777777786,134.9,4405,148596,856479,518605,341973,300698,209467,18,107730,134,0,0.7069300642293688,-1.4298567190768343,-2.3896683471137052,AL,1
Arizona,1998,15.152777777777779,77.1,4883,183138,386770,468094,161086,317888,12302,238,111863,3713,0,-0.7126467025663658,-0.350137472758467,-1.34700414733496,AZ,0
Arkansas,1998,17.27777777777778,61.3,2626,84794,254658,321517,272888,137403,81960,152,31781,1033,0,-1.0023486010899938,-0.4655715910590946,-1.4176196016825378,AR,0
California,1998,13.726851851851855,358.8,32988,1470393,66157,3315357,2418688,362928,146909,133436,505243,24497,28122,8.713481198449603,7.160136255809494,-0.47006682221937773,CA,2
Colorado,1998,7.916666666666668,78.4,4117,201076,364889,402345,328897,0,15850,412,14908,233,0,-1.4703515365861841,0.08812849668839155,1.3055214587922708,CO,0
Connecticut,1998,10.88425925925926,40.6,3365,196248,32569,417161,134891,34022,44668,0,4571,231,0,-1.6690520370934763,0.39275009784999887,-0.17339573675176634,CT,0
Delaware,1998,14.11574074074074,15.0,763,49743,45817,132144,42322,0,1833,79,0,24,0,-2.3415645608865026,0.15272537831826144,-0.3436469541468929,DE,0
Florida,1998,22.49537037037037,233.5,15487,590135,749474,1837091,529565,326432,171827,2130,2024,29626,0,3.1720399615703267,-1.0273174299230758,-2.7765947321249986,FL,1
Georgia,1998,18.717592592592585,159.0,7864,352713,767394,961594,378549,329212,202938,56,53376,202,0,1.4015911847359335,-1.424036599231501,-2.4338398049290855,GA,1
Idaho,1998,6.84722222222222,14.2,1252,38791,8783,152565,71912,0,27359,555,131904,2,0,-2.4515837915827228,1.204639679803913,0.8557888197083202,ID,0
Illinois,1998,12.898148148148149,216.6,12272,595833,949046,1164470,975542,583254,89509,388,1404,180,0,2.2288880116151857,-2.1342167638389484,-1.4087341826404751,IL,1
Indiana,1998,12.749999999999995,219.0,5999,246380,1447976,816296,527435,0,38669,934,4881,33,0,0.31554626434403393,-2.174567785445151,1.1254708877729909,IN,1
Iowa,1998,10.509259259259258,77.6,2903,114230,424859,386346,184856,39525,69391,303,9309,9,1,-1.2499377929446758,-0.25950200381271654,0.48970051388852803,IA,0
Kansas,1998,13.50925925925926,70.8,2661,108508,309382,377110,325041,109219,9495,249,117,34,0,-1.4004029313017412,-0.48320859751057954,0.0833164237878178,KS,0
Kentucky,1998,14.546296296296294,139.7,3985,151551,958990,580206,212107,0,11476,552,31774,4,0,-0.7534438491657434,-1.3459304343935135,0.35420103926179186,KY,0
Louisiana,1998,20.35648148148148,207.8,4440,208683,225283,1850600,1679040,172341,136243,386,10838,71,0,1.5910459289108883,-1.2951732359050712,-0.8315114697576164,LA,1
Maine,1998,6.3842592592592595,19.5,1259,44233,7294,253121,5789,0,113231,0,37892,117,0,-2.123706825335766,0.9158595937062858,0.3811087935394154,ME,0
Maryland,1998,13.893518518518515,75.2,5204,231831,303896,542867,195457,139851,34768,104,17740,49,0,-0.9534935373224195,-0.25805411712504134,-0.6126561828190032,MD,0
Massachusetts,1998,10.203703703703702,84.3,6272,314880,109862,745338,367039,59782,55485,215,10500,213,0,-0.8626182582337518,0.4154566927618198,0.22157100542558308,MA,0
Michigan,1998,9.027777777777779,192.3,9848,406293,826852,982332,871603,131076,93330,1044,14246,262,0,0.8176463289274198,-0.8955791686512942,0.5495169890611146,MI,1
Minnesota,1998,7.171296296296295,92.1,4813,222971,357030,613318,337078,122158,76055,208,9734,345,1497,-0.8787080047959971,0.02090895075306159,0.7933659597310972,MN,0
Mississippi,1998,18.805555555555557,56.9,2805,85333,125930,461773,252445,96418,63943,223,0,10,0,-1.1000028972641127,-0.4646131701867136,-1.4231291728201787,MS,0
Missouri,1998,13.981481481481481,130.4,5522,232074,695687,744664,261463,89349,13923,65,23928,138,0,-0.5544288734593757,-1.0407038037835603,0.11123200449183142,MO,0
Montana,1998,6.583333333333334,30.8,892,30466,186099,159543,61398,0,14786,126,113370,2,0,-2.4358011864866667,0.8133987501723651,1.1385563125273428,MT,0
Nebraska,1998,10.337962962962962,43.3,1696,72310,204797,243768,131114,86643,25179,311,17160,15,0,-1.8990701009414557,0.03591722882491057,0.009365380796729637,NE,0
Nevada,1998,9.550925925925924,41.0,1853,94947,184243,220582,154656,0,5185,16523,32287,340,0,-1.891815839563344,0.95872903847389,0.33761876135143626,NV,0
New Hampshire,1998,7.7638888888888875,16.8,1206,51603,38623,168062,19233,87988,24266,0,16282,38,0,-2.3888082492074916,0.5325386533834905,0.30296497390928534,NH,0
New Jersey,1998,12.86574074074074,119.2,8287,433779,86235,1114078,696034,284643,38682,90,211,631,0,0.17031981714328637,-0.12514672555171114,-0.5916918718561438,NJ,1
New Mexico,1998,12.324074074074074,55.7,1793,67087,290367,228647,241406,0,6929,184,2411,519,0,-1.8755160433275984,-0.18998550651022686,0.2004199782845663,NM,0
New York,1998,9.078703703703702,204.3,18756,996663,337438,1498639,1266346,328512,160398,296,298933,553,0,2.9073675554918297,1.2907245387975574,0.1053810833298853,NY,1
