state_name,year,tempc,co2_emissions,pe_coal,pe_petroleum,pe_naturalgas,pe_nuclear,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind,population_thousands,rgdp_millions,PC 1,PC 2,PC 3,Class,state_abb,drought,flooding,freeze,severe_storm,tropical_cyclone,wildfire,winter_storm,latitude,longitude,total_disasters,total_pe
Alabama,1997,16.87037037037037,134.9,867264,524929,337431,310336,182204,17,117660,138,0,4368,143646,0.5453411054397945,-1.3844599442695764,-2.193926854969155,3,AL,0,0,0,0,0,0,0,32.377716,-86.300568,0,2039960
Alabama,1998,18.402777777777786,134.9,856479,518605,341973,300698,209467,18,107730,134,0,4405,148596,0.7069278007108043,-1.431162321468966,-2.3963889041197315,3,AL,1,0,0,1,1,0,0,32.377716,-86.300568,3,2017755
Alabama,1999,17.85648148148148,137.6,866512,536391,349076,322826,210694,62,79350,127,0,4430,154094,0.732430210191849,-1.5065698769266025,-2.394511462733974,3,AL,1,0,0,1,0,0,1,32.377716,-86.300568,3,2074805
Alabama,2000,17.537037037037035,143.4,904181,559735,368472,327143,203782,62,59346,113,0,4452,156560,0.74680520017536,-1.5935731364870285,-2.3407356237992545,3,AL,1,0,0,0,0,0,1,32.377716,-86.300568,2,2159531
Alabama,2001,17.24074074074074,135.0,842337,534772,344004,317019,166334,65,86346,97,0,4468,156404,0.523056068683667,-1.425032204984155,-2.2054572821552454,3,AL,0,0,0,0,0,0,0,32.377716,-86.300568,0,2038132
Alabama,2002,17.541666666666668,140.0,845999,562366,389965,332650,163686,67,89775,82,0,4480,160870,0.6013713749776962,-1.4488420637622828,-2.221922053435037,3,AL,0,0,0,1,1,1,0,32.377716,-86.300568,3,2130980
Alabama,2003,17.074074074074076,140.9,873735,561731,360483,330137,156371,62,128232,68,0,4503,164992,0.5789633094235661,-1.341676757784327,-2.1399144475126715,3,AL,0,0,0,3,0,0,0,32.377716,-86.300568,3,2126086
Alabama,2004,17.407407407407412,143.6,853917,609981,391927,329898,186726,68,106432,54,0,4531,175508,0.7495082206801458,-1.376676054210266,-2.2559279483344383,3,AL,0,0,0,0,1,0,0,32.377716,-86.300568,1,2185723
Alabama,2005,17.439814814814813,145.0,890098,606840,363398,330761,178417,78,101436,53,0,4570,181386,0.7334055806288455,-1.4185803752990769,-2.2370832448734133,3,AL,0,0,0,1,3,0,0,32.377716,-86.300568,4,2191097
Alabama,2006,17.88888888888889,147.5,886678,611265,402044,332992,194853,85,71930,62,0,4629,184796,0.8424548890643347,-1.5034537975255962,-2.3302255186840006,3,AL,1,0,0,2,0,0,0,32.377716,-86.300568,3,2232979
