state_name,state_abb,year,pe_coal,pe_naturalgas,pe_petroleum,pe_nuclear,pe_totalrenew,re_biomass,re_geothermal,re_hydropower,re_solar,re_wind
Alaska,AK,1960,7189,2034,45410,0,6800,3681,0,3120,0,0
Alabama,AL,1960,395400,190706,236010,0,112809,45681,0,67128,0,0
Arkansas,AR,1960,356,222202,148055,0,48104,37433,0,10671,0,0
Arizona,AZ,1960,210,140275,121344,0,36181,4013,0,32169,0,0
California,CA,1960,35903,1301826,1836912,1,270161,82098,359,187705,0,0
Colorado,CO,1960,68206,194963,161701,0,16914,6479,0,10436,0,0
Connecticut,CT,1960,101694,29449,362231,0,17406,12842,0,4564,0,0
District of Columbia,DC,1960,27792,12951,59884,0,155,123,0,32,0,0
Delaware,DE,1960,20496,9351,123940,0,4982,4982,0,0,0,0
Florida,FL,1960,27176,142900,611909,0,35680,32690,0,2990,0,0
Georgia,GA,1960,88950,188460,301423,0,96016,71206,0,24810,0,0
Hawaii,HI,1960,0,0,94547,0,292,0,0,292,0,0
Iowa,IA,1960,115945,193688,284968,0,15884,6404,0,9481,0,0
Idaho,ID,1960,16845,22776,73643,0,77688,11354,0,66333,0,0
Illinois,IL,1960,914648,536127,1101969,2958,33020,31033,0,1986,0,0
Indiana,IN,1960,794942,219758,600655,0,24556,23477,0,1079,0,0
Kansas,KS,1960,15724,373664,252417,0,4123,3912,0,211,0,0
Kentucky,KY,1960,286738,153807,200419,0,50751,22418,0,28333,0,0
Louisiana,LA,1960,0,1003771,466937,0,38992,38992,0,0,0,0
Massachusetts,MA,1960,118745,80612,804058,394,53354,42784,0,10570,0,0
Maryland,MD,1960,226566,73315,353177,0,38447,23838,0,14609,0,0
Maine,ME,1960,20408,0,152342,0,59784,29178,0,30607,0,0
Michigan,MI,1960,653141,382980,713352,0,59100,37260,0,21839,0,0
Minnesota,MN,1960,131265,186121,381283,0,34957,25415,0,9542,0,0
Missouri,MO,1960,170906,270074,403574,0,41442,33634,0,7807,0,0
Mississippi,MS,1960,753,187874,142266,0,46565,46565,0,0,0,0
Montana,MT,1960,3999,57638,106971,0,69936,7520,0,62415,0,0
North Carolina,NC,1960,231342,47032,418929,0,127507,73725,0,53782,0,0
North Dakota,ND,1960,30531,27356,101649,0,11880,473,0,11407,0,0
Nebraska,NE,1960,20010,140430,136000,0,13425,3108,0,10317,0,0
New Hampshire,NH,1960,5390,2952,83382,0,25629,10855,0,14775,0,0
