state_name,year,population_thousands
Alaska,1960,229
Alabama,1960,3274
Arkansas,1960,1789
Arizona,1960,1321
California,1960,15870
Colorado,1960,1769
Connecticut,1960,2544
District of Columbia,1960,765
Delaware,1960,449
Florida,1960,5004
Georgia,1960,3956
Hawaii,1960,642
Iowa,1960,2756
Idaho,1960,671
Illinois,1960,10086
Indiana,1960,4674
Kansas,1960,2183
Kentucky,1960,3041
Louisiana,1960,3260
Massachusetts,1960,5160
Maryland,1960,3113
Maine,1960,975
Michigan,1960,7834
Minnesota,1960,3425
Missouri,1960,4326
Mississippi,1960,2182
Montana,1960,679
North Carolina,1960,4573
North Dakota,1960,634
Nebraska,1960,1417
New Hampshire,1960,609
New Jersey,1960,6103
New Mexico,1960,954
Nevada,1960,291
New York,1960,16838
Ohio,1960,9734
Oklahoma,1960,2336
Oregon,1960,1772
Pennsylvania,1960,11329
Rhode Island,1960,855
South Carolina,1960,2392
South Dakota,1960,683
Tennessee,1960,3575
Texas,1960,9624
Utah,1960,900
Virginia,1960,3986
Vermont,1960,389
Washington,1960,2855
Wisconsin,1960,3962
West Virginia,1960,1853
Wyoming,1960,331
United States,1960,180671
Alaska,1961,238
Alabama,1961,3316
Arkansas,1961,1806
Arizona,1961,1407
California,1961,16497
Colorado,1961,1844
Connecticut,1961,2586
District of Columbia,1961,778
Delaware,1961,461
Florida,1961,5243
Georgia,1961,4015
Hawaii,1961,659
Iowa,1961,2756
Idaho,1961,684
Illinois,1961,10130
Indiana,1961,4730
Kansas,1961,2215
Kentucky,1961,3054
Louisiana,1961,3287
Massachusetts,1961,5219
Maryland,1961,3176
Maine,1961,995
Michigan,1961,7893
Minnesota,1961,3470
Missouri,1961,4349
Mississippi,1961,2206
Montana,1961,696
North Carolina,1961,4663
North Dakota,1961,641
Nebraska,1961,1446
New Hampshire,1961,618
New Jersey,1961,6265
New Mexico,1961,965
Nevada,1961,315
New York,1961,17061
Ohio,1961,9854
Oklahoma,1961,2380
Oregon,1961,1787
Pennsylvania,1961,11392
Rhode Island,1961,858
South Carolina,1961,2409
South Dakota,1961,693
Tennessee,1961,3622
Texas,1961,9820
Utah,1961,936
Virginia,1961,4095
Vermont,1961,390
Washington,1961,2882
Wisconsin,1961,4009
West Virginia,1961,1828
Wyoming,1961,337
United States,1961,183691
Alaska,1962,246
Alabama,1962,3323
Arkansas,1962,1853
Arizona,1962,1471
California,1962,17072
Colorado,1962,1899
Connecticut,1962,2647
District of Columbia,1962,788
Delaware,1962,469
Florida,1962,5458
Georgia,1962,4086
Hawaii,1962,684
Iowa,1962,2750
Idaho,1962,692
Illinois,1962,10280
Indiana,1962,4736
Kansas,1962,2231
Kentucky,1962,3079
Louisiana,1962,3345
Massachusetts,1962,5263
Maryland,1962,3263
Maine,1962,994
Michigan,1962,7933
Minnesota,1962,3513
Missouri,1962,4357
Mississippi,1962,2243
Montana,1962,698
North Carolina,1962,4707
North Dakota,1962,637
Nebraska,1962,1464
New Hampshire,1962,632
New Jersey,1962,6376
New Mexico,1962,979
Nevada,1962,352
New York,1962,17301
Ohio,1962,9929
Oklahoma,1962,2427
Oregon,1962,1818
Pennsylvania,1962,11355
Rhode Island,1962,871
South Carolina,1962,2423
South Dakota,1962,705
Tennessee,1962,3673
Texas,1962,10053
Utah,1962,958
Virginia,1962,4180
Vermont,1962,393
Washington,1962,2942
Wisconsin,1962,4049
West Virginia,1962,1809
Wyoming,1962,333
United States,1962,186538
Alaska,1963,256
Alabama,1963,3358
Arkansas,1963,1875
