state_name,year,rgdp_millions
Alaska,1997,42262
Alabama,1997,143646
Arkansas,1997,82756
Arizona,1997,168550
California,1997,1378654
Colorado,1997,184193
Connecticut,1997,190791
District of Columbia,1997,79626
Delaware,1997,45231
Florida,1997,560888
Georgia,1997,328994
Hawaii,1997,55679
Iowa,1997,113365
Idaho,1997,37015
Illinois,1997,577804
Indiana,1997,232247
Kansas,1997,104770
Kentucky,1997,146958
Louisiana,1997,201830
Massachusetts,1997,302806
Maryland,1997,221184
Maine,1997,43035
Michigan,1997,397339
Minnesota,1997,211942
Missouri,1997,228293
Mississippi,1997,83197
Montana,1997,29169
North Carolina,1997,316366
North Dakota,1997,22411
Nebraska,1997,70722
New Hampshire,1997,48425
New Jersey,1997,426187
New Mexico,1997,67446
Nevada,1997,90368
New York,1997,976940
Ohio,1997,471886
Oklahoma,1997,115414
Oregon,1997,118539
Pennsylvania,1997,495814
Rhode Island,1997,40158
South Carolina,1997,134908
South Dakota,1997,24976
Tennessee,1997,210844
Texas,1997,872763
Utah,1997,80682
Virginia,1997,301623
Vermont,1997,20026
Washington,1997,271601
Wisconsin,1997,209257
West Virginia,1997,59236
Wyoming,1997,25240
United States,1997,11521900
Alaska,1998,41157
Alabama,1998,148596
Arkansas,1998,84794
Arizona,1998,183138
California,1998,1470393
Colorado,1998,201076
Connecticut,1998,196248
District of Columbia,1998,81190
Delaware,1998,49743
Florida,1998,590135
Georgia,1998,352713
Hawaii,1998,54360
Iowa,1998,114230
Idaho,1998,38791
Illinois,1998,595833
Indiana,1998,246380
Kansas,1998,108508
Kentucky,1998,151551
Louisiana,1998,208683
Massachusetts,1998,314880
Maryland,1998,231831
Maine,1998,44233
Michigan,1998,406293
Minnesota,1998,222971
Missouri,1998,232074
Mississippi,1998,85333
Montana,1998,30466
North Carolina,1998,326225
North Dakota,1998,23682
Nebraska,1998,72310
New Hampshire,1998,51603
New Jersey,1998,433779
New Mexico,1998,67087
Nevada,1998,94947
New York,1998,996663
Ohio,1998,487904
Oklahoma,1998,117867
Oregon,1998,124171
Pennsylvania,1998,508484
Rhode Island,1998,41788
South Carolina,1998,140139
South Dakota,1998,26452
Tennessee,1998,223769
Texas,1998,928374
Utah,1998,85720
Virginia,1998,317196
Vermont,1998,20697
Washington,1998,289102
Wisconsin,1998,217254
West Virginia,1998,60165
Wyoming,1998,25841
United States,1998,12038300
Alaska,1999,40722
Alabama,1999,154094
Arkansas,1999,89317
Arizona,1999,198096
California,1999,1582377
Colorado,1999,216300
Connecticut,1999,202230
District of Columbia,1999,84658
Delaware,1999,53862
Florida,1999,616625
Georgia,1999,377608
Hawaii,1999,55182
Iowa,1999,116662
Idaho,1999,42496
Illinois,1999,617315
Indiana,1999,254489
Kansas,1999,111201
Kentucky,1999,156261
Louisiana,1999,212955
Massachusetts,1999,331705
Maryland,1999,240910
Maine,1999,46393
Michigan,1999,429356
Minnesota,1999,230684
Missouri,1999,238361
Mississippi,1999,87647
Montana,1999,30598
North Carolina,1999,344425
North Dakota,1999,23705
Nebraska,1999,73884
New Hampshire,1999,53058
New Jersey,1999,448808
New Mexico,1999,70716
Nevada,1999,101276
New York,1999,1048059
Ohio,1999,499060
Oklahoma,1999,119725
Oregon,1999,126884
Pennsylvania,1999,523565
Rhode Island,1999,43176
South Carolina,1999,146526
South Dakota,1999,27501
Tennessee,1999,230418
Texas,1999,965677
Utah,1999,89270
Virginia,1999,332146
Vermont,1999,21843
Washington,1999,310332
Wisconsin,1999,226298
West Virginia,1999,62170
Wyoming,1999,26822
United States,1999,12610500
Alaska,2000,39517
Alabama,2000,156560
Arkansas,2000,90206
Arizona,2000,207793
California,2000,1709939
Colorado,2000,232752
Connecticut,2000,216370
District of Columbia,2000,85265
Delaware,2000,56109
Florida,2000,642693
Georgia,2000,393195
Hawaii,2000,56417
Iowa,2000,122159
Idaho,2000,47324
Illinois,2000,641749
Indiana,2000,263693
Kansas,2000,113972
Kentucky,2000,152118
Louisiana,2000,206685
Massachusetts,2000,359521
Maryland,2000,250982
Maine,2000,48524
Michigan,2000,438277
Minnesota,2000,245982
Missouri,2000,246049
Mississippi,2000,88143
Montana,2000,31375
North Carolina,2000,354846
North Dakota,2000,24598
Nebraska,2000,76623
New Hampshire,2000,56720
New Jersey,2000,473035
New Mexico,2000,71956
Nevada,2000,105344
New York,2000,1088005
Ohio,2000,508992
Oklahoma,2000,124110
Oregon,2000,137802
Pennsylvania,2000,537224
Rhode Island,2000,45246
South Carolina,2000,150501
South Dakota,2000,29407
Tennessee,2000,233153
Texas,2000,998296
Utah,2000,92508
Virginia,2000,346160
Vermont,2000,23022
Washington,2000,312230
Wisconsin,2000,233085
West Virginia,2000,62052
Wyoming,2000,27708
United States,2000,13131000
Alaska,2001,40974
Alabama,2001,156404
Arkansas,2001,89923
Arizona,2001,212656
California,2001,1702776
Colorado,2001,236383
Connecticut,2001,220287
District of Columbia,2001,88506
Delaware,2001,58882
Florida,2001,658640
