state,year,drought,flooding,freeze,severe storm,tropical cyclone,wildfire,winter storm
AK,1980,0,0,0,0,0,0,0
AL,1980,1,0,0,0,0,0,0
AR,1980,1,1,0,0,0,0,0
AZ,1980,0,0,0,0,0,0,0
CA,1980,0,0,0,0,0,0,0
CO,1980,0,0,0,0,0,0,0
CT,1980,0,0,0,0,0,0,0
DE,1980,0,0,0,0,0,0,0
FL,1980,0,0,0,0,0,0,0
GA,1980,1,0,0,0,0,0,0
HI,1980,0,0,0,0,0,0,0
IA,1980,1,0,0,0,0,0,0
ID,1980,0,0,0,0,0,0,0
IL,1980,1,0,0,0,0,0,0
IN,1980,0,0,0,0,0,0,0
KS,1980,1,0,0,0,0,0,0
KY,1980,1,0,0,0,0,0,0
LA,1980,1,1,0,0,1,0,0
MA,1980,0,0,0,0,0,0,0
MD,1980,0,0,0,0,0,0,0
ME,1980,0,0,0,0,0,0,0
MI,1980,0,0,0,0,0,0,0
MN,1980,1,0,0,0,0,0,0
MO,1980,1,0,0,0,0,0,0
MS,1980,1,1,0,0,0,0,0
MT,1980,1,0,0,0,0,0,0
NC,1980,1,0,0,0,0,0,0
ND,1980,1,0,0,0,0,0,0
NE,1980,1,0,0,0,0,0,0
NH,1980,0,0,0,0,0,0,0
NJ,1980,0,0,0,0,0,0,0
NM,1980,0,0,0,0,0,0,0
NV,1980,0,0,0,0,0,0,0
NY,1980,0,0,0,0,0,0,0
OH,1980,0,0,0,0,0,0,0
OK,1980,1,0,0,0,0,0,0
OR,1980,0,0,0,0,0,0,0
PA,1980,0,0,0,0,0,0,0
PR,1980,0,0,0,0,0,0,0
RI,1980,0,0,0,0,0,0,0
SC,1980,1,0,0,0,0,0,0
SD,1980,1,0,0,0,0,0,0
TN,1980,1,0,0,0,0,0,0
TX,1980,1,0,0,0,1,0,0
UT,1980,0,0,0,0,0,0,0
VA,1980,1,0,0,0,0,0,0
VI,1980,0,0,0,0,0,0,0
VT,1980,0,0,0,0,0,0,0
WA,1980,0,0,0,0,0,0,0
WI,1980,0,0,0,0,0,0,0
WV,1980,0,0,0,0,0,0,0
WY,1980,0,0,0,0,0,0,0
AK,1981,0,0,0,0,0,0,0
AL,1981,0,0,0,1,0,0,0
AR,1981,0,0,0,0,0,0,0
AZ,1981,0,0,0,0,0,0,0
CA,1981,0,0,0,0,0,0,0
CO,1981,0,0,0,0,0,0,0
CT,1981,0,0,0,0,0,0,0
DE,1981,0,0,0,0,0,0,0
FL,1981,0,0,1,0,0,0,0
GA,1981,0,0,0,0,0,0,0
HI,1981,0,0,0,0,0,0,0
IA,1981,0,0,0,0,0,0,0
ID,1981,0,0,0,0,0,0,0
IL,1981,0,0,0,0,0,0,0
IN,1981,0,0,0,0,0,0,0
KS,1981,0,0,0,1,0,0,0
KY,1981,0,0,0,0,0,0,0
LA,1981,0,0,0,1,0,0,0
MA,1981,0,0,0,0,0,0,0
MD,1981,0,0,0,0,0,0,0
ME,1981,0,0,0,0,0,0,0
MI,1981,0,0,0,0,0,0,0
MN,1981,0,0,0,0,0,0,0
MO,1981,0,0,0,0,0,0,0
MS,1981,0,0,0,0,0,0,0
MT,1981,0,0,0,0,0,0,0
NC,1981,0,0,0,0,0,0,0
ND,1981,0,0,0,0,0,0,0
NE,1981,0,0,0,0,0,0,0
NH,1981,0,0,0,0,0,0,0
NJ,1981,0,0,0,0,0,0,0
NM,1981,0,0,0,0,0,0,0
NV,1981,0,0,0,0,0,0,0
NY,1981,0,0,0,0,0,0,0
OH,1981,0,0,0,0,0,0,0
OK,1981,0,0,0,1,0,0,0
OR,1981,0,0,0,0,0,0,0
PA,1981,0,0,0,0,0,0,0
PR,1981,0,0,0,0,0,0,0
RI,1981,0,0,0,0,0,0,0
SC,1981,0,0,0,0,0,0,0
SD,1981,0,0,0,0,0,0,0
TN,1981,0,0,0,0,0,0,0
TX,1981,0,0,0,1,0,0,0
UT,1981,0,0,0,0,0,0,0
VA,1981,0,0,0,0,0,0,0
VI,1981,0,0,0,0,0,0,0
VT,1981,0,0,0,0,0,0,0
WA,1981,0,0,0,0,0,0,0
WI,1981,0,0,0,0,0,0,0
WV,1981,0,0,0,0,0,0,0
