State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Alabama,110.7,115,122.3,126.5,124.5,132.3,138.4,134.9,134.9,137.6,143.4,135,140,140.9,143.6,145,147.5,149,141.2,121.2,133.8,130.8,124.2,121.5,123.8,120.6,115.4,109.4,113.4
Alaska,34.8,35.4,36.9,36.7,36.5,41.2,42.1,42.1,43.4,44,44.6,43.7,43.9,43.9,47.2,48.5,46.2,44.5,39.9,38.2,39,38.9,38.4,36.2,35.2,36.3,35,34.5,35.2
Arizona,63.3,64.2,67.3,69.3,72.1,67,68.8,71.8,77.1,81.2,86.7,89.2,88.6,90.5,97.8,97.7,100.9,102.8,103.3,94.2,96,94,92.1,95.7,93.6,91.3,87.3,86.3,90.3
Arkansas,51.2,50.1,52,50.8,54.8,58.2,60.8,59.6,61.3,63.7,64,63.3,61.9,62.5,63.1,60.7,62.6,63.9,64.8,62,66.2,67.7,66.6,68.8,69.4,59.5,62.6,64.5,71.4
California,359.8,347.2,352.8,341,357.4,346.1,344.7,346.6,358.8,362.9,378.3,383.4,381.8,370.3,389.4,385.7,394.7,399.3,383.5,369.7,363.5,349.1,354.3,356.1,353.1,360.6,360.7,362.1,362.5
Colorado,66.3,67.6,68.8,72.3,72.8,72.8,75.7,75.7,78.4,80.4,85.3,93.6,91.8,91.2,94.4,96.4,97.5,100.1,98.1,93.9,96.2,92.4,91.4,91.8,92.3,91,87.6,87.9,89.3
Connecticut,41,40.1,40.6,38.4,37.7,37,39.9,42.8,40.6,41.9,43.1,41.9,40.3,43,45,44.3,41.3,40.5,37.9,36.1,36.3,34.9,34.2,34.9,35.1,36.5,34.2,33.7,37.1
Delaware,16.8,17.6,16.5,17.8,17.2,16.2,16.8,15.4,15,15.2,16.1,15.6,15.4,15.9,16.2,16.9,15.9,16.7,15.8,12.1,11.3,12.3,13.4,13.1,12.8,12.9,13.3,12.4,12.6
District of Columbia,4.5,4.4,4.4,4.6,4.5,4.4,4.4,4.3,4.1,4.2,4.3,4.1,4.2,3.9,4,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.7,2.8,3,3,2.8,2.6,2.9
Florida,189.5,190.6,193.7,196.2,203.7,209,214.6,219.4,233.5,233.3,241.2,240.3,243.7,247.8,259.9,262.7,261.3,258.7,240.4,225.7,243.4,230,224.1,222.6,228.3,232.6,230.1,228.8,230.9
Georgia,140.1,132,132,140.8,143.8,152.2,156.5,157.1,159,161.9,169.8,162.3,167.2,170.3,176,186.3,183.8,186.3,173.7,163.5,172.7,157.2,137.1,135.1,140.1,137.4,136.4,133.2,133.1
Hawaii,21.8,19.8,20.9,19.1,20.5,20.4,19.4,18.8,18.9,18.7,18.9,19.4,20.6,21.6,22.6,23.2,23.5,24.3,19.5,19.1,19.2,19.6,19.1,18.6,18.5,18.7,18.6,17.8,18.7
Idaho,11.4,12.1,11.4,12.5,12.6,13.4,14.1,13.8,14.2,15.1,15.7,15.7,15.1,14.5,15.8,15.9,15.9,16.4,15.6,15.2,16,15.8,15.7,17.2,16.7,17.9,18.3,18.6,19
Illinois,192.2,192.1,188.5,204.4,204.6,208.7,222.6,225.5,216.6,227,233.7,225.3,227.8,231.3,239.2,245,237,244.5,243.2,227.6,232.1,230.7,218.2,231.2,234.1,216.4,204.5,202.7,210.2
Indiana,205.9,202.4,199.8,203.8,203.4,208.9,213.4,217.1,219,225.5,238.8,228.8,231.9,237.8,237.8,236.4,234.4,233.9,229.6,206.3,218.3,210.7,196.3,201.3,206.7,187.2,182.9,177.6,191
Iowa,63,65,63.8,67.7,68.8,72.3,74.3,73.5,77.6,78.9,79.8,78.8,79.6,79.2,81.5,81.3,82.7,87.9,91.8,86.7,90.9,87.7,81.8,82.9,83.9,77.8,74.3,76.5,82.5
