State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,2034,2300,4048,5567,6805,7670,12282,11889,17636,42940,64045,68045,75032,63703,63188,85175,90571,116859,145025,157236,153805,122214,237881,239678,258039,214042,208311,251512,288798,321207,326826,367952,383887,375971,367592,432813,443629,425394,434437,422817,437972,413049,420808,415891,407944,434704,375719,372186,343938,343971,334978,339819,347228,332631,329274,333936,330883,343899,346255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,190706,191533,201250,211348,230316,236949,240755,262055,296690,310822,307750,294838,287100,279958,282454,271747,232758,248715,244969,291485,278342,281022,253391,229993,239598,227780,210226,214611,243192,253577,252128,261476,287947,302250,299250,332399,337764,337431,341973,349076,368472,344004,389965,360483,391927,363398,402044,430649,414260,466272,544405,609288,677380,625869,650570,701582,715033,681236,770909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,222202,215311,235477,252846,278852,277661,289632,295756,321569,349990,383478,334979,317640,327475,290102,257445,248194,234379,220898,255010,273987,265043,227389,211726,214432,199350,202982,172340,218787,251139,234465,212680,226598,232682,247187,271956,274991,264019,272888,257666,256114,231590,247899,254571,217921,216600,240885,229610,238424,248100,274774,288906,300572,288045,273009,296826,315617,317543,366948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,140275,159093,163461,169533,174623,166063,174448,169085,189965,210332,204383,225898,241355,226325,204955,164346,180181,176449,186366,180580,173970,192208,142323,120418,126844,137315,105103,121301,128594,151468,130781,128178,133771,118159,139733,127945,125265,137588,161086,167770,208137,244424,255247,275650,356264,329302,365230,401992,409966,377504,336208,293134,339043,340375,315916,365313,373916,334605,400563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,1301826,1400174,1483423,1623370,1817241,1813213,1982305,2048734,2187260,2189883,2241295,2265324,2303562,2154045,1937140,1937322,1849711,1864187,1646333,1900357,1890887,1947370,1765171,1601037,1739833,1925459,1591045,1992956,1860391,2047845,2101602,2208285,2294135,2213111,2334777,2109956,2017680,2185029,2418688,2379558,2456438,2513856,2318656,2317062,2462247,2304463,2375929,2467545,2472612,2391374,2325411,2196252,2456371,2480792,2409574,2384061,2248939,2190612,2207425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,194963,210872,202310,180366,205251,204483,207693,210209,253481,268895,274987,281846,301651,311694,302725,280996,276287,253994,234600,260824,244771,201432,216115,207120,220950,209799,190320,201536,218567,240556,232296,268787,259036,286366,272152,288383,315855,311900,328897,330896,366094,464062,457708,436873,440720,478520,458911,512841,508491,525999,505628,477208,456471,480875,497182,490642,464749,462123,519591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,29449,31424,33355,35575,38627,41720,48744,50826,54053,58405,61543,62417,65032,63548,67139,64331,66382,64709,66038,68752,74033,77126,79253,76286,83245,80208,80962,94504,90697,101745,108843,115683,126132,125793,134374,144867,139102,148585,134891,155870,163696,149344,181665,157252,165862,171150,175870,183604,169802,188570,203814,236016,236260,240102,242227,260925,254652,246533,285989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,12951,13721,14742,15335,16266,17315,17611,21923,22957,25229,26402,27663,28976,28177,27559,26210,29040,26212,26551,30129,27950,29428,29731,29633,29802,29336,29972,31422,33079,33757,29095,31287,33187,33325,31188,33201,34213,34826,31235,32964,34377,30577,33688,33700,33097,33753,29775,33856,32774,34339,33717,33389,29389,33725,35302,33654,30160,30601,32609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,9351,9708,14999,17082,17826,18742,19845,21948,25069,26949,26949,26981,24569,23408,20772,18975,19662,16261,21263,25758,30783,31576,28694,35491,43852,39443,33594,37254,29928,35883,35620,38967,37201,39346,47255,62738,55934,48140,42322,58089,50175,51817,53782,47971,49722,48639,44787,49932,49749,51651,56086,81710,104421,100682,107051,107819,113552,103121,99416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,142900,148894,162843,179441,189595,191669,220568,234326,286653,326855,350626,350527,311235,324892,302002,292139,300867,315950,333306,357014,329567,357470,339099,321009,318172,305057,298928,313553,305758,337182,341993,360992,371137,368011,417702,579310,561145,547201,529565,583448,574460,569757,708638,714826,757672,805446,917468,943845,970038,1081725,1180462,1235953,1348390,1245287,1241250,1378089,1414358,1421277,1511073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,188460,186255,199380,195667,215579,219774,243089,265271,295289,324940,342834,353199,341408,358532,339589,335376,268375,271811,286035,324478,325263,325103,303335,303129,315287,289572,286490,311055,330859,325560,319199,331599,351369,359989,351897,383385,393417,381712,378549,347107,421262,362643,393127,390760,406436,427825,433920,455220,436093,475240,540943,531596,624338,634635,664808,712580,727336,709694,759332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,76,134,140,137,155,195,179,173,148,167,161,158,187,197,167,196,162,163,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,193688,211826,221026,220538,244609,249988,244028,278580,303746,325026,351800,347740,347617,369016,371639,348564,313917,281367,238754,292191,270333,253927,238917,223581,238314,191609,163616,157888,196345,178635,172149,188083,179626,196652,198503,210496,223127,208360,184856,201472,203042,193445,194041,197629,198017,210742,207162,264166,297357,283990,278751,277576,266283,306419,311352,302936,317115,376297,431454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,22776,24808,26709,28366,33014,36092,38992,35929,40387,42389,49411,53152,60084,59296,55285,63776,49843,48269,46570,56792,51646,48107,42849,36833,40341,41115,35450,37780,41551,46904,46786,52741,50382,58294,59069,65687,69191,70801,71912,73361,74518,81804,73482,71754,78273,78118,79041,83904,90550,87072,85075,83947,90339,107089,93610,107871,110344,115899,115832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,536127,576551,624035,655743,737326,778662,868621,979649,1027219,1121210,1203225,1260009,1237471,1176722,1175830,1123588,1204616,1199778,1196435,1170615,1076174,1053097,996628,956269,1056089,979924,920227,873837,972786,1007747,951868,999478,1003295,1043124,1038608,1093289,1136534,1095556,975542,1011875,1040261,958425,1051213,1001534,955972,972710,896138,968652,1003219,956553,962240,986310,939024,1063511,1108134,1011357,1045034,1034628,1127462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,219758,248273,281781,297815,333685,357502,399896,434632,454467,531512,548640,570398,580410,541215,530276,472567,420969,394286,436149,499345,482288,487854,471776,425164,451395,433689,396365,412377,459359,465877,456002,460594,485267,521235,523523,538395,576285,559146,527435,558192,576102,505274,538368,566838,526391,535512,499753,543800,555489,511289,577423,635117,654528,680051,723942,735055,779945,747918,890423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
