State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AK,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10707,12004,12761,18342,18357,17357,18300,20551,23590,23142,21915,15583,13638,10605,12375,17446,18269,19607,18876,15930,13481,14286,13126,15912,17148,16702,17831,18931,22762,23828,26226,24438,24960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL,112809,118021,125564,112682,137992,121888,121238,144384,129673,131856,132471,158182,164946,181706,166734,184701,160994,174751,148341,190737,238766,213355,265548,282179,288127,248632,215783,233511,216597,304351,253287,257202,257599,269514,334002,322116,323721,300020,317349,290232,263303,252841,253609,284732,293280,279983,266931,229491,237856,274392,266140,279972,265964,336862,293899,284415,259532,281538,298413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,48104,51144,47637,41897,42732,46425,51697,46124,64986,64813,56933,53579,53917,81723,81339,71589,62300,69746,77088,80773,69996,68248,77652,95412,91646,109251,91234,86688,92546,119759,110505,110143,112813,133803,119609,117506,118019,124045,114927,110822,108634,94022,108652,107933,112971,112738,100633,121766,126307,130887,138625,135135,125379,132369,131627,129281,127818,120247,123771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,36181,35083,34533,34861,34271,50095,58060,56423,63456,67840,68919,74136,75189,79348,82058,80897,84428,75681,79870,83414,120006,92583,94968,175999,188831,171680,175103,123114,98749,101498,94753,88774,87528,86942,94235,106203,114081,143511,128116,116145,102228,92536,88046,84202,82474,92287,95747,97682,111992,96274,101344,129780,114962,119660,139783,149186,162312,171736,178463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,270161,248178,329046,360333,331757,418518,375877,473192,397366,544918,521978,533790,472312,553162,645073,578578,422852,338073,576601,559806,591928,503653,702806,811004,696738,594659,668070,524440,515854,742268,672960,658107,642475,822390,635982,854526,824947,767380,838207,764517,741708,615260,684616,768677,768991,819593,897789,707689,680732,726123,837498,947812,811515,859435,865005,863477,1060607,1251196,1154499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CO,16914,15464,17144,17410,17865,16369,17380,16908,17248,18181,21329,25526,22935,23623,24207,24728,23636,23658,29391,33170,28582,28752,32043,35857,39837,43210,44294,32433,32649,30873,27106,32617,28988,33636,29288,36531,35801,38515,31402,32395,31999,30472,27044,28795,29099,35558,42230,50617,77362,78330,81844,107003,107298,121965,130630,132628,157964,160765,164632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,17406,17076,15937,16253,16703,15500,16243,18072,18657,19701,19293,20206,22712,21870,22509,22237,23862,24105,26391,29359,43748,42958,41481,48199,41112,40389,35551,30809,34409,36042,34712,35008,39390,39678,40824,46227,56334,51004,49471,49593,50913,29919,28612,32973,42965,29171,35690,36173,36462,41681,43544,43378,38997,42943,45474,46769,47844,47376,50352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC,155,163,166,148,138,120,111,112,120,108,113,116,118,114,129,131,146,158,193,210,2849,2312,3654,2564,3226,3327,3049,2229,2382,2515,1283,1347,1412,1946,1849,1851,1922,1378,1222,1259,1354,866,881,926,943,264,620,742,565,620,1123,1310,1094,1175,1313,1831,2193,2257,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE,4982,5101,5134,5356,5510,5577,5852,5783,6594,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2516,1653,1734,1784,2492,2422,2476,2642,2203,1936,2001,2290,1325,1315,1402,1436,1886,3620,4974,5789,6640,7755,7862,7140,7610,8064,7745,7594,7912,8047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FL,35680,34417,35826,38613,39016,39916,42760,44550,49556,51489,51035,49968,54389,56250,52429,50007,56507,59953,65357,69419,90049,83698,105523,94585,112695,114488,118872,108785,114445,233039,199621,213746,231574,217481,215930,220410,240413,231427,205607,204197,195106,158138,174380,188488,179495,187675,192085,199922,242565,272937,289754,288653,287384,301818,298060,293815,290072,308818,317519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
