State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,
AK,3681,4145,4246,4383,4728,4863,5035,4671,4705,4893,5029,5287,5079,4871,4922,4894,5224,6106,5920,5986,2723,3046,2875,3348,3917,3967,2259,2923,3103,9188,8169,7954,8753,7067,9659,8941,8774,4308,2233,2168,2069,3445,3540,3494,3783,1197,1249,1426,1447,2770,2888,3299,2298,3660,6494,7530,9146,7784,8184,,,,,,,,,,,,,,,,,,,,,,,,
AL,45681,46171,45959,45764,46341,47641,49102,49050,52920,53345,52378,54068,58735,59084,58463,57615,62883,66705,66560,67874,141033,150242,153364,164722,175397,176696,160935,155656,161022,166994,145304,144773,151327,176217,215932,223971,208971,182204,209467,210694,203782,166334,163686,156371,186726,178417,194853,188449,177209,151859,181015,193453,194992,213553,203628,192270,194476,194481,193399,,,,,,,,,,,,,,,,,,,,,,,,
AR,37433,36290,36441,36729,36860,35134,35169,33309,33739,34698,34264,34682,36857,37551,36739,35870,41325,51062,52002,45832,52390,55336,55633,60540,63217,62928,61844,61608,63792,86235,71100,71732,76481,85912,82506,82964,87771,86884,81960,82147,83466,66837,72972,80406,75933,81477,84758,89239,79760,89205,102074,105562,103550,106124,105604,95087,93679,91880,93453,,,,,,,,,,,,,,,,,,,,,,,,
AZ,4013,3837,3672,4028,4089,3695,3679,4180,4147,4389,4339,4526,4782,4574,4783,5414,5816,6838,7129,8291,17835,21469,21635,23644,25139,25558,24043,17521,18365,15620,13741,14585,15095,13871,14181,16652,14706,16421,12302,12492,13376,10389,9319,9573,9704,25335,25421,29420,36719,29481,30566,30212,27543,27187,33229,35486,37932,36873,38924,,,,,,,,,,,,,,,,,,,,,,,,
CA,82098,83506,86898,93022,98436,97488,100673,101885,110274,116253,116839,119221,127646,130122,134723,127489,144760,151984,160261,168373,115610,133092,127114,148644,165871,167092,129117,157927,169036,235903,222587,219221,226570,193993,195852,181972,175098,158854,146909,155665,164105,164137,171500,205815,228444,226206,220116,225983,230785,238181,291057,293099,288129,306069,310513,296074,293205,293721,296933,,,,,,,,,,,,,,,,,,,,,,,,
CO,6479,6563,6420,6571,6816,6569,6982,7223,7434,7811,8364,8914,10032,10310,9433,9050,10276,12471,15473,16485,10749,14131,14794,16171,17189,18581,20649,13486,14630,12050,11777,13316,12891,13325,12746,13929,16342,17123,15850,15625,16364,13734,12544,13788,14174,12834,15042,19828,24008,27202,30241,32636,31608,35718,36919,40839,43155,42737,43197,,,,,,,,,,,,,,,,,,,,,,,,
CT,12842,13169,12825,13339,13886,13541,13612,13964,14931,15262,15837,16109,17127,17225,18039,17102,19886,19608,22669,24583,41088,40241,37604,44222,37171,37629,31652,27231,30997,31371,28711,30415,34934,35325,35727,42323,49675,46243,44668,45009,45279,26652,24833,26849,37870,23826,29631,31798,30039,35628,38576,36656,34711,37487,39085,40975,41506,39089,38678,,,,,,,,,,,,,,,,,,,,,,,,
DC,123,105,105,105,88,88,88,88,105,105,105,105,105,105,123,123,140,158,193,210,2849,2312,3654,2564,3226,3327,3049,2229,2382,2514,1282,1347,1411,1945,1848,1850,1921,1377,1220,1257,1352,864,878,923,939,258,606,728,545,598,1038,1048,832,900,999,1506,1876,1754,1991,,,,,,,,,,,,,,,,,,,,,,,,
DE,4982,5101,5134,5356,5510,5577,5852,5783,6591,7073,7021,7673,8190,8483,8466,7901,9607,10161,10667,8729,2472,2006,3170,2224,2927,3019,2765,2162,2310,2438,1569,1645,1691,2395,2330,2381,2543,2101,1833,1889,2181,1208,1190,1247,1271,1699,3394,4683,5444,6188,7192,7031,6068,6137,6397,6037,5981,6082,6077,,,,,,,,,,,,,,,,,,,,,,,,
FL,32690,31611,33321,35838,35983,36798,39739,41567,47044,48627,47974,47318,51917,53820,49804,47568,53819,57416,62995,66926,87819,81817,102795,92271,110474,111939,116654,106526,112284,205324,170933,183237,200092,185167,182190,186456,206119,197033,171827,171638,164155,127398,144188,157615,149032,157664,162048,169327,210030,239189,253868,251217,248455,260909,256189,251293,247496,258486,251818,,,,,,,,,,,,,,,,,,,,,,,,
GA,71206,70216,69729,72407,73208,74215,74664,70831,73637,73255,71792,74407,79604,81637,83428,78324,89188,94049,99260,103274,98096,98408,105698,107773,116258,116686,119242,112954,117426,177845,188344,183376,183692,194264,196067,205644,208259,218529,202938,202675,196564,164912,255750,179394,189409,177716,184924,183298,176734,188182,214608,221061,216392,247100,266034,271119,256836,248441,247484,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,206,224,172,144,258,678,729,429,347,550,543,591,569,701,460,275,327,11910,12745,12440,14035,14301,14217,16314,17846,19426,26984,25924,25446,24901,24388,20724,19803,19066,17433,16548,16981,15194,7954,7491,9314,9354,9632,10054,9936,12030,12482,10700,11187,10026,11720,11624,12075,13414,10900,10657,,,,,,,,,,,,,,,,,,,,,,,,
IA,6404,6163,5749,5460,5579,5462,5963,5834,6353,6204,6264,6557,6925,7276,7672,7887,8495,8952,9649,9652,48728,53916,57308,62415,65969,65590,90023,97542,104283,70577,64850,66649,69783,73113,74190,73847,78822,71580,69391,71068,66147,62586,65857,75223,90720,98147,110108,139290,163974,206436,241354,234495,220393,231763,245769,242858,250796,254106,258148,,,,,,,,,,,,,,,,,,,,,,,,
ID,11354,10813,10825,10560,11059,10361,10269,10300,10659,10620,11476,11181,11368,11209,10332,11103,13792,15540,17065,18844,14646,16321,16085,17969,18432,18744,19410,17002,17771,26775,24350,24416,25784,25189,24060,25630,26166,28607,27359,28093,27857,28446,22446,22969,25928,35321,32954,34984,36210,29231,36250,32271,31770,33902,40923,48997,43092,44874,46693,,,,,,,,,,,,,,,,,,,,,,,,
IL,31033,30135,30865,32563,32631,33209,35275,35570,38299,39935,39317,39199,39932,42523,42652,41624,46126,49962,61593,63281,90927,98923,107137,125003,123273,128846,139818,150417,159343,130459,101160,107182,112998,96425,99239,96147,81943,89677,89509,91739,95574,98666,109431,124424,123019,105578,103418,120700,133808,154478,157796,156627,152243,156267,160379,160486,165177,170300,170293,,,,,,,,,,,,,,,,,,,,,,,,
IN,23477,23062,23293,23463,22696,22081,23325,22475,23233,23801,23295,22643,26828,27118,27370,26719,31049,34870,42076,47318,51217,53864,54622,63524,60559,65218,66688,71478,75580,64821,55709,57183,56616,48311,46872,49123,44255,40412,38669,42374,41611,46107,49889,51556,51818,57341,48341,60337,89375,96032,103352,112675,109041,116357,120948,124677,128953,124982,126025,,,,,,,,,,,,,,,,,,,,,,,,
KS,3912,3684,3508,3624,3534,3358,3391,3252,3353,3214,3659,3866,5654,5999,5846,5763,6472,6820,7491,7891,9002,8403,10323,10649,14596,14750,21730,20424,21607,17552,13652,14097,14026,13322,12823,12656,11467,9977,9495,9731,9482,9951,14359,17657,15375,18057,17884,24031,40070,37770,41042,43738,40586,44291,49337,47060,47468,46129,46640,,,,,,,,,,,,,,,,,,,,,,,,
KY,22418,21538,22130,23192,21760,21678,22592,22511,22928,23353,23719,24859,27438,27910,31187,30821,35344,29568,37550,41737,25284,27999,34572,31669,40577,42440,40254,36128,36965,30923,20277,21060,22118,17276,15791,15948,18997,13508,11476,11764,11972,13024,23396,29560,32224,43843,42921,47678,50683,50342,56892,59195,55480,62781,64331,55225,56967,56743,58399,,,,,,,,,,,,,,,,,,,,,,,,
LA,38992,37174,36785,39147,39291,38299,39754,37685,40791,40698,41620,41912,44819,45748,44928,42358,45170,46692,47825,44717,64707,68263,69667,74654,78816,79343,102343,102199,104615,129643,118502,121049,124568,125335,137993,142091,142258,138717,136243,139727,136411,128005,134453,142841,177923,142779,142569,142605,102876,105568,121842,122947,122167,139119,160092,145621,162307,143092,140228,,,,,,,,,,,,,,,,,,,,,,,,
MA,42784,44105,45238,45338,47137,48698,49749,49846,53961,55409,57139,53852,50384,50682,52494,48983,55418,58949,65463,69761,70853,68711,64010,75676,61934,62713,65546,57049,59645,62436,52055,54712,57721,60375,63487,63255,65776,61397,55485,54773,58184,40335,37475,39014,41191,35860,46483,50927,48217,56170,63913,63502,60395,65534,66527,65888,66079,65712,63809,,,,,,,,,,,,,,,,,,,,,,,,
MD,23838,23591,23878,25283,25807,27094,28335,29439,31024,31321,31772,30687,32430,32570,31819,31785,34710,38515,41272,43645,32634,30545,37581,33512,38974,39233,35052,30957,32536,36827,26519,26869,27672,32028,32125,37066,40674,36802,34768,36161,36287,20873,24043,27134,28078,31227,38198,41398,40219,47590,54853,51871,50600,56132,55035,49076,48628,47660,47400,,,,,,,,,,,,,,,,,,,,,,,,
ME,29178,28844,28994,29001,30076,30050,30605,31635,32693,32785,29478,29616,32322,32490,33864,32705,38004,41017,45596,48018,96018,99961,96140,109362,108141,107924,91360,88489,91780,118406,108995,117335,122617,124594,120409,126184,124116,124454,113231,120655,126280,118708,112129,100126,102313,119065,110410,118454,141367,109305,121675,121039,118384,124043,118906,124811,106458,106638,108199,,,,,,,,,,,,,,,,,,,,,,,,
MI,37260,36172,35748,37021,36600,36904,37874,35984,36433,36866,36432,35346,37595,36277,38241,35906,41591,45003,55027,60353,90575,95908,96472,109405,103580,103801,108475,111149,116374,107299,84428,91714,93884,86947,90764,92386,104636,97296,93330,94942,102421,81423,80953,96602,100545,113760,112028,124684,139644,128651,138731,153283,150990,162411,163241,174225,169666,171701,178953,,,,,,,,,,,,,,,,,,,,,,,,
MN,25415,24626,24183,23511,23326,23366,22682,23386,23361,23698,23443,23503,24886,25474,26312,27410,29536,29734,39033,44454,46625,46814,48450,51387,55883,58586,55151,51491,54454,55360,51571,54336,61107,65761,68854,73183,71951,78273,76055,81221,87231,89679,86088,88866,98774,99649,103096,119922,128586,145519,171985,167972,162160,160810,176839,177067,178178,177073,183526,,,,,,,,,,,,,,,,,,,,,,,,
MO,33634,31865,30942,29351,27890,27017,26801,24867,25219,24613,23611,23039,23001,22950,26147,27099,31860,33242,39125,44555,25084,23533,26643,26045,30566,31270,28576,25904,28599,26225,20139,20623,21551,19596,18901,18252,18022,14852,13923,14756,16988,21557,23888,27894,29127,42868,41371,50036,61784,69134,77198,73544,66831,76400,80008,68361,68667,67944,71849,,,,,,,,,,,,,,,,,,,,,,,,
MS,46565,45532,44673,39154,38448,37759,37816,34261,35452,34609,33527,32841,32432,32195,31279,31152,34819,36230,37576,37510,38097,41070,44643,45071,50468,50892,49196,45439,47412,76395,84840,89472,90783,92863,95092,94256,85599,84113,63943,64858,75116,55795,49338,44948,60823,62397,63042,63940,49751,56058,74515,75231,87951,75914,77061,73346,76152,72743,72776,,,,,,,,,,,,,,,,,,,,,,,,
MT,7520,7342,7217,7418,8021,7813,7638,7353,7845,7431,6627,6721,6324,6516,5030,6223,7172,9053,10880,12310,11086,12633,12523,14047,14465,14550,20378,18024,18684,10810,11767,17218,10152,9794,10172,16550,15763,16223,14786,15397,15341,12032,11122,12073,12656,18738,18232,21835,20759,15359,15984,8386,8017,8992,9317,18596,19469,19152,22808,,,,,,,,,,,,,,,,,,,,,,,,
NC,73725,70411,69423,70745,69084,67314,68730,66084,68041,67728,65900,66148,68940,68892,67660,66411,78341,91398,102371,109678,78918,77650,86826,85048,93651,94794,87782,81741,85442,94410,97501,76354,100004,105849,113339,111566,112242,109801,104168,104616,107174,104714,94923,115541,92753,93008,101157,87192,136380,128262,142071,149240,148190,157380,155000,147848,147168,153523,149276,,,,,,,,,,,,,,,,,,,,,,,,
